round,player1_stack,opponent_stack,winner,actions
208,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
209,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
210,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
211,1020,980,Player1,0 call:20;0 call:0
212,1020,980,Player1,0 call:20
213,1010,990,Player1,no_actions
214,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
215,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
216,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
217,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
218,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
219,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
220,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
221,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
222,1020,980,Player1,0 call:20
223,1020,980,Player1,0 call:20
224,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
225,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
226,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
227,1020,980,Player1,0 call:20;0 call:0;0 call:0
228,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
229,1010,990,Player1,no_actions
230,1010,990,Player1,no_actions
231,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
232,1020,980,Player1,0 call:20
233,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
234,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
235,1020,980,Player1,0 call:20
236,1010,990,Player1,no_actions
237,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
238,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
239,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
240,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
241,1010,990,Player1,no_actions
242,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
243,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
244,1020,980,Player1,0 call:20;0 call:0
245,1020,980,Player1,0 call:20;0 call:0;0 call:0
246,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
247,1020,980,Player1,0 call:20;0 call:0
248,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
249,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
250,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
251,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
252,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
253,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
254,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
255,1020,980,Player1,0 call:20
256,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
257,1020,980,Player1,0 call:20;0 call:0;0 call:0
258,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
259,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
260,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
261,1010,990,Player1,no_actions
262,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
263,1020,980,Player1,0 call:20;0 call:0;0 call:0
264,1010,990,Player1,no_actions
265,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
266,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
267,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
268,1020,980,Player1,0 call:20
269,1020,980,Player1,0 call:20;0 call:0;0 call:0
270,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
271,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
272,1010,990,Player1,no_actions
273,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
274,1020,980,Player1,0 call:20;0 call:0
275,1020,980,Player1,0 call:20
276,1010,990,Player1,no_actions
277,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
278,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
279,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
280,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
281,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
282,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
283,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
284,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
285,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
286,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
287,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
288,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
289,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
290,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
291,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
292,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
293,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
294,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
295,1020,980,Player1,0 call:20;0 call:0
296,1020,980,Player1,0 call:20;0 call:0
297,1020,980,Player1,0 call:20;0 call:0
298,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
299,1020,980,Player1,0 call:20
300,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
301,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
302,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
303,1020,980,Player1,0 call:20
304,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
305,1020,980,Player1,0 call:20;0 call:0;0 call:0
306,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
307,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
308,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
309,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
310,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
311,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
312,1010,990,Player1,no_actions
313,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
314,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
315,1020,980,Player1,0 call:20;0 call:0
316,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
317,1020,980,Player1,0 call:20
318,1020,980,Player1,0 call:20
319,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
320,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
321,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
322,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
323,1020,980,Player1,0 call:20
324,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
325,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
326,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
327,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
328,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
329,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
330,1020,980,Player1,0 call:20;0 call:0;0 call:0
331,1010,990,Player1,no_actions
332,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
333,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
334,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
335,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
336,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
337,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
338,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
339,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
340,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
341,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
342,1020,980,Player1,0 call:20;0 call:0;0 call:0
343,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
344,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
345,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
346,1010,990,Player1,no_actions
347,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
348,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
349,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
350,1010,990,Player1,no_actions
351,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
352,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
353,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
354,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
355,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
356,1010,990,Player1,no_actions
357,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
358,1010,990,Player1,no_actions
359,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
360,1020,980,Player1,0 call:20;0 call:0
361,1020,980,Player1,0 call:20
362,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
363,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
364,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
365,1020,980,Player1,0 call:20;0 call:0
366,1020,980,Player1,0 call:20;0 call:0
367,1010,990,Player1,no_actions
368,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
369,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
370,1020,980,Player1,0 call:20;0 call:0;0 call:0
371,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
372,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
373,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
374,1020,980,Player1,0 call:20
375,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
376,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
377,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
378,1020,980,Player1,0 call:20;0 call:0;0 call:0
379,1020,980,Player1,0 call:20;0 call:0;0 call:0
380,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
381,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
382,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
383,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
384,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
385,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
386,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
387,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
388,1010,990,Player1,no_actions
389,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
390,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
391,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
392,1020,980,Player1,0 call:20;0 call:0;0 call:0
393,1000,1000,Player1,0 call:20;0 call:0;0 call:0;0 call:0
394,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
395,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
396,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
397,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
398,1010,990,Player1,no_actions
399,1010,990,Player1,no_actions
400,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
401,1020,980,Player1,0 call:20
402,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
403,1000,1000,Player1,0 call:20;0 call:0;0 call:0;0 call:0
404,1020,980,Player1,0 call:20
405,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
406,1010,990,Player1,no_actions
407,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
408,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
