round,player1_stack,opponent_stack,winner,actions
203,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
204,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
205,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
206,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
207,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
208,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
209,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
210,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
211,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
212,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
213,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
214,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
215,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
216,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
217,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
218,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
219,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
220,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
221,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
222,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
223,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
224,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
225,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
226,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
227,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
228,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
229,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
230,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
231,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
232,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
233,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
234,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
235,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
236,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
237,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
238,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
239,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
240,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
241,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
242,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
243,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
244,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
245,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
246,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
247,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
248,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
249,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
250,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
251,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
252,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
253,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
254,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
255,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
256,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
257,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
258,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
259,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
260,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
261,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
262,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
263,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
264,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
265,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
266,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
267,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
268,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
269,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
270,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
271,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
272,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
273,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
274,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
275,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
276,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
277,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
278,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
279,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
280,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
281,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
282,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
283,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
284,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
285,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
286,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
287,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
288,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
289,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
290,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
291,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
292,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
293,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
294,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
