round,player1_stack,opponent_stack,winner,actions
325,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
326,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
327,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
328,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
329,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
330,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
331,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
332,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
333,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
334,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
335,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
336,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
337,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
338,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
339,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
340,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
341,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
342,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
343,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
344,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
345,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
346,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
347,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
348,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
349,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
350,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
351,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
352,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
353,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
354,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
355,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
356,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
357,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
358,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
359,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
360,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
361,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
362,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
363,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
364,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
365,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
366,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
367,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
368,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
369,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
370,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
371,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
372,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
373,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
374,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
375,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
376,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
377,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
378,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
379,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
380,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
381,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
382,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
383,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
384,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
385,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
386,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
387,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
388,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
389,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
390,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
391,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
392,1000,1000,Player1,0 call:30;0 call:20;0 call:20;0 call:20
